Iteration 0 | train_acc = 55.96591 | train_loss = 30.65969 | Loss1: 1.301 | Loss2: 1.50457 | Loss3: 0.84934 | Loss_concat: 27.00490 |
Iteration 1 | train_acc = 71.87500 | train_loss = 3.43312 | Loss1: 0.487 | Loss2: 0.49650 | Loss3: 0.46699 | Loss_concat: 1.98249 |
Iteration 2 | train_acc = 77.55682 | train_loss = 2.62784 | Loss1: 0.471 | Loss2: 0.48406 | Loss3: 0.44639 | Loss_concat: 1.22686 |
Iteration 3 | train_acc = 66.19318 | train_loss = 3.07428 | Loss1: 0.474 | Loss2: 0.49529 | Loss3: 0.44998 | Loss_concat: 1.65535 |
Iteration 4 | train_acc = 73.29545 | train_loss = 3.21629 | Loss1: 0.445 | Loss2: 0.47065 | Loss3: 0.43224 | Loss_concat: 1.86822 |
Iteration 5 | train_acc = 72.44318 | train_loss = 3.38781 | Loss1: 0.467 | Loss2: 0.49439 | Loss3: 0.43677 | Loss_concat: 1.98955 |
Iteration 6 | train_acc = 73.57955 | train_loss = 2.94843 | Loss1: 0.475 | Loss2: 0.49922 | Loss3: 0.45454 | Loss_concat: 1.51969 |
Iteration 7 | train_acc = 73.29545 | train_loss = 3.43267 | Loss1: 0.441 | Loss2: 0.48513 | Loss3: 0.40635 | Loss_concat: 2.10058 |
Iteration 8 | train_acc = 73.29545 | train_loss = 2.78390 | Loss1: 0.461 | Loss2: 0.48136 | Loss3: 0.43101 | Loss_concat: 1.41081 |
Iteration 9 | train_acc = 75.85227 | train_loss = 3.04690 | Loss1: 0.471 | Loss2: 0.47579 | Loss3: 0.42903 | Loss_concat: 1.67113 |
Iteration 10 | train_acc = 75.00000 | train_loss = 2.92997 | Loss1: 0.428 | Loss2: 0.45855 | Loss3: 0.38963 | Loss_concat: 1.65425 |
Iteration 11 | train_acc = 75.85227 | train_loss = 2.67626 | Loss1: 0.423 | Loss2: 0.42581 | Loss3: 0.38351 | Loss_concat: 1.44434 |
Iteration 12 | train_acc = 74.71591 | train_loss = 3.03017 | Loss1: 0.432 | Loss2: 0.44645 | Loss3: 0.38146 | Loss_concat: 1.77024 |
